date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?
1/7/2021,MSTR,Medium,3DGapFade,5,A+,GO,0.2009,1.66,1.65,3,0.0848,0.1301,0.6815,1.1768,0.7807,48.06,0.0654,,
11/15/2021,RBLX,Medium,3DGapFade,5,A+,GO,0.1538,1.5,2.38,2,0.008,0.1293,0.2929,0.3828,0.3238,107.58,0.0687,,
11/5/2021,NVDA,Large,3DGapFade,5,A+,GO,0.1451,4.16,4.2,6,0.013,0.1288,0.3631,0.3496,0.3264,29.8,0.0343,,
6/25/2021,ATOS,Medium,3DGapFade,5,A+,GO,0.2788,1.37,2.04,7,0.0114,0.1282,0.7143,2.3559,1.2786,118.8,0.1265,N,
7/29/2021,SAVA,Medium,3DGapFade,5,A+,GO,0.1568,1.12,1.54,2,0.0717,0.1276,0.2764,0.6856,0.6738,96.64,0.1102,,
1/25/2021,APPN,Medium,3DGapFade,5,A+,GO,0.1539,1.8,1.51,2,0.0056,0.1234,0.2638,0.4169,0.3931,204.85,0.0653,N,
2/25/2021,RCL,Medium,3DGapFade,5,A+,GO,0.1751,1.3,1.8,7,0.014,0.121,0.3924,0.3338,0.3272,96.66,0.0434,,
8/13/2021,LAC,Medium,3DGapFade,5,A+,GO,0.18,1.53,2.17,6,0.012,0.1147,0.4719,0.2974,0.3158,19.15,0.0616,,
11/15/2021,U,Medium,3DGapFade,5,A+,GO,0.1527,1.61,1.67,8,0.0069,0.1145,0.347,0.6408,0.3847,196.65,0.0524,,
8/27/2021,DLPN,Medium,3DGapFade,5,A+,GO,0.1727,2.22,1.99,4,0.0103,0.1086,0.3662,0.7613,0.4474,27.16,0.0995,,
9/17/2021,ASAN,Medium,3DGapFade,5,A+,GO,0.1554,1.77,2.95,6,0.0096,0.1067,0.575,0.5091,0.5072,117.86,0.0529,N,
1/21/2021,F,Large,3DGapFade,5,A+,GO,0.1007,1.92,1.72,2,0.0387,0.1048,0.2313,0.1779,0.2017,10.86,0.0326,,
9/8/2021,CCJ,Medium,3DGapFade,5,A+,GO,0.1553,1.7,2.9,7,0.0114,0.1033,0.4225,0.3415,0.2854,22.86,0.0371,N,
10/15/2021,OCGN,Medium,3DGapFade,5,A+,GO,0.2063,2.56,3.56,4,0.001,0.1032,0.3347,0.3137,0.329,10.05,0.0695,,
10/20/2021,MARA,Medium,3DGapFade,5,A+,GO,0.1736,1.56,2.14,3,0.0037,0.1027,0.7612,0.4457,0.4334,53.91,0.0627,,
3/19/2021,EXPR,Medium,3DGapFade,5,A+,GO,0.1599,1.96,1.61,2,0.0079,0.1026,0.8773,0.5396,0.6802,101,0.1583,,
5/24/2021,F,Large,3DGapFade,5,A+,GO,0.0859,2.26,2.61,2,0.0038,0.1007,0.1462,0.0767,0.0918,13.33,0.0299,,
1/25/2021,BB,Large,3DGapFade,5,A+,GO,0.2673,2.11,3,6,0.3925,0.0977,1.1176,0.6895,0.8848,14.04,0.0712,N,2DGapFade
3/15/2021,BA,Large,3DGapFade,5,A+,GO,0.121,1.26,1.84,5,0.0184,0.0972,0.2645,0.3862,0.2565,269.19,0.0478,N,
7/1/2021,TSP,Medium,3DGapFade,5,A+,GO,0.1666,1.54,3.29,4,0.0038,0.091,0.5824,1.0221,0.638,71.24,0.0985,,
11/19/2021,RBLX,Medium,3DGapFade,5,A+,GO,0.1538,1.8,2.54,6,0.0297,0.0856,0.5011,0.7905,0.5012,126.12,0.0789,,
7/22/2021,CYTK,Medium,3DGapFade,5,A+,GO,0.2226,1.11,2.75,3,0.0263,0.0844,0.4795,0.36,0.3215,29.28,0.0721,,
1/26/2021,SPWR,Medium,3DGapFade,5,A+,GO,0.1972,2.63,1.98,5,0.0123,0.0811,0.87,1.2368,0.7944,47.33,0.0967,,
11/17/2021,RBLX,Medium,3DGapFade,5,A+,GO,0.1595,1.94,2.83,4,0.0079,0.0799,0.44,0.5764,0.4101,116.18,0.0739,,
6/4/2021,F,Large,3DGapFade,5,A+,GO,0.1123,1.69,1.71,3,0.0213,0.0797,0.3844,0.3392,0.2829,15.99,0.0398,,
11/5/2021,F,Large,3DGapFade,5,A+,GO,0.1004,1.09,1.72,6,0.0149,0.0783,0.2369,0.4093,0.3273,19.42,0.0368,,
11/5/2021,AMD,Large,3DGapFade,5,A+,GO,0.0878,1.79,1.72,4,0.0123,0.0773,0.2264,0.2996,0.2416,137.5,0.0335,N,
8/10/2021,EDIT,Medium,3DGapFade,5,A+,GO,0.1763,1.63,2.37,5,0.0088,0.0651,0.3362,0.3198,0.3767,58.06,0.0572,,
11/2/2021,F,Large,3DGapFade,5,A+,GO,0.084,1.4,1.51,3,0.0111,0.0647,0.1477,0.4056,0.2562,17.95,0.0357,,
2/16/2021,TWTR,Medium,3DGapFade,5,A+,GO,0.1521,1.43,1.61,10,0.004,0.0609,0.5029,0.3278,0.3676,71.9,0.0464,,
8/4/2021,AMD,Large,3DGapFade,5,A+,GO,0.1077,1.6,2.51,5,0.016,0.06,0.264,0.3467,0.285,112.56,0.0398,N,
9/7/2021,AMBA,Medium,3DGapFade,5,A+,GO,0.1719,1.56,1.99,3,0.0078,0.0397,0.4121,0.4436,0.3589,137.2,0.0452,N,
1/26/2021,FUTU,Medium,3DGapFade,5,A+,GO,0.1901,3.05,2.33,5,0.089,0.0339,1.0895,1.2724,0.9689,102.26,0.1041,,
