ticker,date,cap,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,made_new_hod,mae_pct,fwd_to_low_pct,fwd_30min_pct
KWEB,2024-09-30,ETF,12:00,34.09,4.19,-5.25,-3.17,True,1.12,0.53,-0.25
KWEB,2024-09-30,ETF,13:00,34.41,3.29,-4.36,-1.89,True,1.12,1.45,0.93
KWEB,2024-09-30,ETF,14:00,34.27,3.68,-4.75,-2.03,True,1.12,1.05,0.31
KWEB,2024-09-30,ETF,15:00,34.04,4.31,-5.38,-2.5,True,1.12,0.4,0.04
KWEB,2024-09-30,ETF,15:45,33.96,4.57,-5.63,-2.63,True,1.12,0.06,-0.04
VXX,2024-08-05,ETF,09:30,90.13,-0.06,-0.98,0.02,False,1.04,19.7,14.5
VXX,2024-08-05,ETF,09:45,84.05,6.69,-7.66,-2.57,False,1.04,13.9,6.66
VXX,2024-08-05,ETF,10:00,77.06,14.45,-15.34,-9.18,False,1.04,6.09,-9.78
VXX,2024-08-05,ETF,10:30,84.6,6.08,-7.05,2.0,False,1.04,14.46,1.15
VXX,2024-08-05,ETF,11:00,83.63,7.16,-8.12,0.58,False,1.04,13.46,3.43
VXX,2024-08-05,ETF,11:30,80.76,10.35,-11.27,-2.62,False,1.04,10.39,7.32
VXX,2024-08-05,ETF,12:00,74.85,16.91,-17.77,-9.01,False,1.04,3.31,1.98
VXX,2024-08-05,ETF,13:00,77.3,14.19,-15.07,-4.76,False,1.04,1.05,-2.47
VXX,2024-08-05,ETF,14:00,80.19,10.98,-11.9,-0.89,False,1.04,2.87,2.24
VXX,2024-08-05,ETF,15:00,81.72,9.28,-10.22,1.06,False,1.04,1.65,-2.17
VXX,2024-08-05,ETF,15:45,86.48,4.0,-4.99,6.44,False,1.04,0.06,-2.47
TEM,2024-08-20,Medium,09:30,56.94,1.83,-1.83,-0.62,False,0.0,-0.1,-23.48
TEM,2024-08-20,Medium,09:45,65.11,-12.26,-0.87,5.44,True,13.24,11.07,-11.0
TEM,2024-08-20,Medium,10:00,70.31,-21.22,-4.99,5.72,True,27.59,17.65,8.22
TEM,2024-08-20,Medium,10:30,64.53,-11.26,-13.76,-5.67,True,29.02,10.27,6.73
TEM,2024-08-20,Medium,11:00,60.19,-3.77,-19.57,-10.56,True,29.02,3.8,0.06
TEM,2024-08-20,Medium,11:30,60.16,-3.72,-19.61,-9.87,True,29.02,3.75,-0.95
TEM,2024-08-20,Medium,12:00,60.73,-4.71,-18.84,-8.69,True,29.02,4.66,3.23
TEM,2024-08-20,Medium,13:00,60.0,-3.45,-19.82,-9.1,True,29.02,2.85,-1.8
TEM,2024-08-20,Medium,14:00,61.02,-5.21,-18.46,-7.2,True,29.02,4.47,0.69
TEM,2024-08-20,Medium,15:00,58.99,-1.71,-21.17,-10.06,True,29.02,0.95,-1.4
TEM,2024-08-20,Medium,15:45,60.08,-3.59,-19.71,-8.22,True,29.02,2.75,2.28
DJT,2024-10-29,Medium,09:30,52.92,1.55,-1.62,0.24,False,0.07,17.76,6.21
DJT,2024-10-29,Medium,09:45,51.5,4.19,-5.16,-0.94,True,1.02,15.5,4.02
DJT,2024-10-29,Medium,10:00,49.63,7.67,-8.6,-3.13,True,1.02,12.31,4.74
DJT,2024-10-29,Medium,10:30,47.28,12.04,-12.93,-4.85,True,1.02,2.05,-6.22
DJT,2024-10-29,Medium,11:00,50.22,6.57,-7.51,1.53,True,1.02,0.44,-2.97
DJT,2024-10-29,Medium,11:30,51.71,3.8,-4.77,3.78,True,1.02,1.9,-2.78
DJT,2024-10-29,Medium,12:00,53.15,1.12,-2.12,6.17,True,1.02,4.55,-0.51
DJT,2024-10-29,Medium,13:00,52.86,1.66,-3.33,4.45,True,1.73,3.87,-0.33
DJT,2024-10-29,Medium,14:00,53.26,0.91,-2.6,4.95,True,1.73,4.6,-1.14
DJT,2024-10-29,Medium,15:00,54.0,-0.46,-1.25,5.94,True,1.73,5.9,3.43
DJT,2024-10-29,Medium,15:45,52.35,2.61,-4.27,2.47,True,1.73,2.93,1.48
DXYZ,2024-11-11,Small,09:30,47.55,-0.13,-0.63,1.03,False,0.76,22.44,13.35
DXYZ,2024-11-11,Small,09:45,43.1,9.24,-13.8,-8.34,True,5.29,14.43,1.47
DXYZ,2024-11-11,Small,10:00,41.2,13.24,-17.6,-9.03,True,5.29,10.49,-9.99
DXYZ,2024-11-11,Small,10:30,45.32,4.58,-9.37,3.53,True,5.29,18.62,-0.12
DXYZ,2024-11-11,Small,11:00,45.37,4.46,-9.26,2.57,True,5.29,18.71,9.36
DXYZ,2024-11-11,Small,11:30,41.12,13.4,-17.75,-6.22,True,5.29,10.32,5.25
DXYZ,2024-11-11,Small,12:00,38.97,17.95,-22.07,-9.99,True,5.29,5.35,-0.63
DXYZ,2024-11-11,Small,13:00,38.7,18.51,-22.6,-9.78,True,5.29,4.7,-7.49
DXYZ,2024-11-11,Small,14:00,42.1,11.36,-15.81,-1.17,True,5.29,4.31,2.2
DXYZ,2024-11-11,Small,15:00,41.62,12.36,-16.76,-2.2,True,5.29,3.22,2.09
DXYZ,2024-11-11,Small,15:45,42.52,10.47,-14.97,-0.01,True,5.29,2.98,0.04
MSTR,2024-11-21,Medium,09:30,534.01,0.3,-0.73,-0.01,False,0.43,30.37,9.78
MSTR,2024-11-21,Medium,09:45,526.18,1.76,-3.1,-0.52,True,1.38,29.33,7.16
MSTR,2024-11-21,Medium,10:00,481.77,10.06,-11.28,-6.93,True,1.38,22.82,5.74
MSTR,2024-11-21,Medium,10:30,454.12,15.22,-16.37,-8.98,True,1.38,18.12,-4.32
MSTR,2024-11-21,Medium,11:00,473.73,11.56,-12.76,-1.76,True,1.38,21.51,0.36
MSTR,2024-11-21,Medium,11:30,472.03,11.87,-13.07,-1.77,True,1.38,21.23,1.07
MSTR,2024-11-21,Medium,12:00,467.0,12.81,-14.0,-2.76,True,1.38,20.38,-1.17
MSTR,2024-11-21,Medium,13:00,457.01,14.68,-15.84,-4.62,True,1.38,18.64,-2.22
MSTR,2024-11-21,Medium,14:00,449.5,16.08,-17.22,-5.8,True,1.38,17.28,1.45
MSTR,2024-11-21,Medium,15:00,414.72,22.57,-23.62,-11.92,True,1.38,10.34,4.85
MSTR,2024-11-21,Medium,15:45,390.42,27.11,-28.1,-15.01,True,1.38,4.76,-1.7
CRCL,2025-06-23,Medium,09:30,239.0,-0.23,-1.16,0.15,False,1.4,2.73,-8.8
CRCL,2025-06-23,Medium,09:45,251.24,-5.36,-1.07,2.89,True,6.5,3.23,-9.68
CRCL,2025-06-23,Medium,10:00,260.02,-9.04,-1.44,4.0,True,10.64,6.51,-6.93
CRCL,2025-06-23,Medium,10:30,278.05,-16.6,-1.79,7.18,True,18.72,12.57,0.56
CRCL,2025-06-23,Medium,11:00,276.49,-15.95,-2.34,5.26,True,18.72,12.07,-5.84
CRCL,2025-06-23,Medium,11:30,292.65,-22.72,-2.12,9.13,True,25.38,16.93,2.28
CRCL,2025-06-23,Medium,12:00,285.99,-19.93,-4.35,5.35,True,25.38,14.99,10.67
CRCL,2025-06-23,Medium,13:00,259.79,-8.94,-13.11,-3.39,True,25.38,4.54,-3.58
CRCL,2025-06-23,Medium,14:00,262.57,-10.11,-12.18,-2.26,True,25.38,5.55,2.79
CRCL,2025-06-23,Medium,15:00,264.14,-10.77,-11.65,-1.28,True,25.38,1.91,-0.05
CRCL,2025-06-23,Medium,15:45,262.72,-10.17,-12.13,-1.75,True,25.38,1.37,-0.25
OPEN,2025-07-21,Small,09:30,2.65,1.53,-3.61,-0.42,False,2.16,4.48,-16.0
OPEN,2025-07-21,Small,09:45,2.66,1.26,-4.69,0.08,True,3.6,0.55,-17.49
OPEN,2025-07-21,Small,10:00,3.07,-14.23,-0.14,10.96,True,14.39,12.14,1.53
OPEN,2025-07-21,Small,10:30,3.03,-12.49,-7.48,3.47,True,21.58,10.78,-16.56
OPEN,2025-07-21,Small,11:00,3.53,-31.12,-2.8,16.42,True,34.89,23.46,-11.57
OPEN,2025-07-21,Small,11:30,3.94,-46.28,-0.33,23.01,True,46.76,31.39,3.73
OPEN,2025-07-21,Small,12:00,3.79,-40.83,-11.02,12.39,True,58.28,28.74,0.77
OPEN,2025-07-21,Small,13:00,4.2,-56.12,-1.36,21.09,True,58.28,35.71,1.73
OPEN,2025-07-21,Small,14:00,4.58,-70.32,-1.15,27.25,True,72.3,41.08,-0.54
OPEN,2025-07-21,Small,15:00,4.2,-56.29,-12.58,12.15,True,78.78,35.79,27.3
OPEN,2025-07-21,Small,15:45,3.0,-11.51,-37.63,-17.7,True,78.78,0.65,-3.71
GLD,2025-10-17,ETF,09:30,396.9,0.06,-0.1,-0.01,False,0.04,2.94,1.03
GLD,2025-10-17,ETF,09:45,394.78,0.59,-0.63,0.16,False,0.04,2.42,1.53
GLD,2025-10-17,ETF,10:00,392.81,1.09,-1.13,-0.33,False,0.04,1.93,0.61
GLD,2025-10-17,ETF,10:30,390.4,1.7,-1.73,-0.39,False,0.04,1.33,-0.19
GLD,2025-10-17,ETF,11:00,391.16,1.51,-1.54,-0.16,False,0.04,1.52,0.1
GLD,2025-10-17,ETF,11:30,390.78,1.6,-1.64,-0.23,False,0.04,1.42,0.15
GLD,2025-10-17,ETF,12:00,390.21,1.74,-1.78,-0.36,False,0.04,1.28,0.54
GLD,2025-10-17,ETF,13:00,386.63,2.65,-2.68,-1.11,False,0.04,0.36,0.05
GLD,2025-10-17,ETF,14:00,388.15,2.26,-2.3,-0.57,False,0.04,0.15,-0.54
GLD,2025-10-17,ETF,15:00,389.54,1.91,-1.95,-0.2,False,0.04,0.51,0.26
GLD,2025-10-17,ETF,15:45,388.29,2.23,-2.26,-0.49,False,0.04,0.07,-0.14
GLD,2026-01-29,ETF,09:30,508.67,0.16,-0.2,-0.04,False,0.04,7.9,0.89
GLD,2026-01-29,ETF,09:45,506.53,0.58,-0.62,-0.25,False,0.04,7.51,2.85
GLD,2026-01-29,ETF,10:00,504.14,1.05,-1.09,-0.53,False,0.04,7.07,4.71
GLD,2026-01-29,ETF,10:30,480.38,5.72,-5.75,-2.98,False,0.04,2.47,0.7
GLD,2026-01-29,ETF,11:00,477.01,6.38,-6.41,-2.56,False,0.04,0.16,-2.17
GLD,2026-01-29,ETF,11:30,487.37,4.35,-4.38,-0.28,False,0.04,1.45,0.43
GLD,2026-01-29,ETF,12:00,485.28,4.76,-4.79,-0.63,False,0.04,0.14,-1.38
GLD,2026-01-29,ETF,13:00,491.13,3.61,-3.64,0.52,False,0.04,1.17,0.21
GLD,2026-01-29,ETF,14:00,489.57,3.91,-3.95,0.16,False,0.04,0.86,0.59
GLD,2026-01-29,ETF,15:00,487.13,4.39,-4.43,-0.33,False,0.04,0.36,-0.32
GLD,2026-01-29,ETF,15:45,492.67,3.31,-3.34,0.8,False,0.04,0.02,-0.62
EWY,2026-02-26,ETF,09:30,153.04,0.17,-0.41,-0.11,False,0.24,4.22,2.0
