date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?,notes
1/8/2021,PLUG,Medium,3DGapFade,5,A+,GO,0.310351064,1.169790807,2.777946191,3,0.099175301,0.452841782,0.661630358,0.769835329,0.812954053,47.29,0.07501888,N,,
5/24/2021,PDSB,Small,3DGapFade,2,F,NO-GO,0.36219775,2.268624118,3.448303975,7,0.040216086,0.451219512,0.431271478,0.662674651,0.590605308,8.33,0.097366661,,,
1/15/2021,CPSH,Small,3DGapFade,3,B,CAUTION,0.780963451,3.299286497,7.581097696,3,0.053094758,0.450292398,2.905511811,3.488687783,2.79204893,9.92,0.121604983,,,
1/26/2021,VXRT,Medium,3DGapFade,5,A+,GO,0.328881437,5.00712138,5.012514404,2,0.066666667,0.443965517,0.587677725,0.347184987,0.467410349,10.05,0.067366738,N,,
2/12/2021,CMLF,Small,3DGapFade,1,F,NO-GO,0.327665984,1.169618178,2.795378129,9,0.172102908,0.44007732,0.824489796,1.01897019,0.849443851,22.35,0.081860019,,,
1/21/2021,ITRM,Small,3DGapFade,3,B,CAUTION,0.349083505,4.093947271,11.18338826,4,0.137931034,0.438016529,0.809107923,1.116788321,0.996539332,26.1,0.088440066,,,
2/10/2021,CLNE,Medium,3DGapFade,3,B,CAUTION,0.325283996,0.694390415,1.233860469,3,0.048819742,0.437162683,0.758490566,1.185228605,1.19438689,18.64,0.078804414,Y,,
2/19/2021,EBON,Medium,3DGapFade,5,A+,GO,0.415366012,3.238061095,5.961169051,4,0.04340124,0.432741117,1.162835249,0.847790507,1.03002787,338.7,0.109416045,N,,
8/11/2021,MDIA,Small,3DGapFade,3,B,CAUTION,0.370353722,2.666420118,6.911579741,4,0.122772277,0.432624113,0.588050314,1.829131653,0.891445982,10.1,0.152984441,,,
9/28/2021,CEI,Medium,3DGapFade,5,A+,GO,0.455923106,1.678895913,1.681173671,3,0.058823529,0.431578947,1.796627596,5.886075949,2.343963531,136.0,0.129199055,N,,
2/10/2021,APHA,Medium,3DGapFade,5,A+,GO,0.382908007,2.469263265,2.29206439,3,0.306526316,0.424715057,0.817138485,2.462099125,1.309457593,23.75,0.06991218,Y,,
6/28/2021,ALF,Large,3DGapFade,5,A+,GO,0.536595618,2.895348688,2.406904412,2,0.159052632,0.423813489,3.899713467,3.985422741,,17.1,0.162591896,N,2DBreakoutIB,
2/9/2021,RIOT,Medium,3DGapFade,5,A+,GO,0.364066221,2.001936567,2.027699217,5,0.084476975,0.420710572,0.301190476,1.499237805,0.968967298,32.79,0.106636605,N,,
2/5/2021,APWC,Small,3DGapFade,0,F,NO-GO,0.315483839,1.310538975,0.55520552,2,0.094734637,0.420634921,0.940379404,2.442307692,1.323920805,7.16,0.146001596,,,
1/27/2021,RHE,Small,3DGapFade,1,F,NO-GO,0.301804416,2.326639231,1.615076916,2,0.176470588,0.420612813,0.457142857,2.279742765,1.145464152,5.1,0.14157423,,,
