ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
CCIV,2021-02-19,12:00,59.85,0.4,-3.42,-0.15,-0.03,True,True,3.13,-4.16,15.92,1.14,11.6,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,13:00,58.48,2.68,-5.63,-1.63,-0.34,True,True,3.13,-6.36,13.95,-1.92,9.52,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,14:00,58.97,1.86,-4.84,-0.74,0.0,True,True,3.13,-5.57,14.67,1.41,10.28,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,15:00,57.85,3.73,-6.65,-2.38,-0.12,True,True,3.13,-7.37,13.02,4.07,8.54,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,15:45,52.24,13.06,-15.7,-8.7,-0.51,True,True,3.13,-16.35,0.46,-1.28,-1.28,GapDownTrendBreak,C,Medium
GME,2021-03-10,09:30,66.05,1.94,-1.94,-0.61,,True,False,0.0,-10.72,34.9,-7.82,0.44,3DGapFade,A,Medium
GME,2021-03-10,09:45,71.48,-6.12,-1.4,3.3,4.13,False,True,7.63,-3.38,39.85,-1.15,8.0,3DGapFade,A,Medium
GME,2021-03-10,10:00,71.22,-5.73,-3.26,1.35,1.54,False,True,9.29,-3.74,39.62,-1.09,7.66,3DGapFade,A,Medium
GME,2021-03-10,10:30,71.99,-6.88,-5.28,0.61,0.96,False,True,12.83,-2.69,40.27,-1.63,8.65,3DGapFade,A,Medium
GME,2021-03-10,11:00,73.16,-8.61,-3.74,1.86,0.22,False,True,12.83,-1.11,41.22,-4.91,10.11,3DGapFade,A,Medium
GME,2021-03-10,11:30,76.75,-13.94,-0.97,5.87,0.73,False,True,15.06,3.74,43.97,-7.95,14.32,3DGapFade,A,Medium
GME,2021-03-10,12:00,82.85,-23.0,-1.37,10.56,1.38,False,True,24.71,11.99,48.1,24.96,20.62,3DGapFade,A,Medium
GME,2021-03-10,13:00,65.99,2.03,-24.26,-8.97,-2.85,True,True,29.35,-10.8,16.48,-5.46,0.35,3DGapFade,A,Medium
GME,2021-03-10,14:00,67.75,-0.58,-22.24,-4.35,-0.18,False,True,29.35,-8.42,16.61,11.03,2.93,3DGapFade,A,Medium
GME,2021-03-10,15:00,65.05,3.42,-25.33,-6.94,-0.19,True,True,29.35,-12.07,5.45,1.33,-1.09,3DGapFade,A,Medium
GME,2021-03-10,15:45,67.2,0.23,-22.87,-3.54,-0.1,True,True,29.35,-9.16,3.09,2.14,2.14,3DGapFade,A,Medium
BBBY,2021-06-03,09:30,35.09,-0.18,-0.39,0.3,,False,False,0.57,-16.07,17.75,7.68,17.38,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,09:45,32.06,8.46,-9.07,-3.16,-5.36,True,True,0.67,-23.31,9.98,3.46,9.58,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,10:00,32.4,7.51,-8.13,-0.39,-1.77,True,True,0.67,-22.51,10.91,4.4,10.51,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,10:30,30.97,11.58,-12.17,-3.53,-0.43,True,True,0.67,-25.92,6.81,2.7,6.4,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,11:00,30.14,13.96,-14.54,-5.18,-0.33,True,True,0.67,-27.92,4.22,1.0,3.8,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,11:30,29.84,14.82,-15.39,-5.3,-0.41,True,True,0.67,-28.64,3.26,1.98,2.83,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,12:00,29.25,16.5,-17.06,-6.59,-0.43,True,True,0.67,-30.05,1.31,-3.03,0.87,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,13:00,30.41,13.18,-13.77,-2.02,-0.25,True,True,0.67,-27.27,5.08,0.66,4.66,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,14:00,32.93,6.0,-6.63,5.95,0.51,True,True,0.67,-21.24,12.34,2.68,11.95,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,15:00,30.71,12.32,-12.91,-1.56,-0.06,True,True,0.67,-26.54,6.02,3.34,5.6,GapDownTrendBreak,B,Medium
BBBY,2021-06-03,15:45,29.45,15.94,-16.5,-5.31,-0.17,True,True,0.67,-29.57,1.98,1.54,1.54,GapDownTrendBreak,B,Medium
WISH,2021-06-09,09:30,413.7,6.0,-6.76,-2.34,,True,False,0.82,-21.87,25.67,8.96,23.13,2DGapFade,A,Medium
WISH,2021-06-09,09:45,391.8,10.97,-12.93,-5.52,-2.1,True,True,2.25,-26.01,21.52,9.34,18.84,2DGapFade,A,Medium
WISH,2021-06-09,10:00,376.65,14.42,-16.3,-6.9,-2.44,True,True,2.25,-28.87,18.36,5.3,15.57,2DGapFade,A,Medium
WISH,2021-06-09,10:30,356.7,18.95,-20.73,-8.02,-3.02,True,True,2.25,-32.63,13.79,-2.44,10.85,2DGapFade,A,Medium
WISH,2021-06-09,11:00,365.4,16.97,-18.8,-4.96,-0.35,True,True,2.25,-30.99,15.85,6.4,12.97,2DGapFade,A,Medium
WISH,2021-06-09,11:30,342.0,22.29,-24.0,-10.3,-0.48,True,True,2.25,-35.41,10.09,3.25,7.02,2DGapFade,A,Medium
WISH,2021-06-09,12:00,330.9,24.81,-26.47,-12.02,-0.94,True,True,2.25,-37.51,7.07,1.09,3.9,2DGapFade,A,Medium
WISH,2021-06-09,13:00,361.8,17.79,-19.6,-2.57,-0.18,True,True,2.25,-31.67,15.01,5.89,12.11,2DGapFade,A,Medium
WISH,2021-06-09,14:00,339.0,22.97,-24.67,-8.19,-0.15,True,True,2.25,-35.98,9.29,-1.02,6.19,2DGapFade,A,Medium
WISH,2021-06-09,15:00,333.95,24.12,-25.79,-9.19,-0.12,True,True,2.25,-36.93,7.92,3.09,4.78,2DGapFade,A,Medium
WISH,2021-06-09,15:45,315.24,28.37,-29.95,-13.71,-0.26,True,True,2.25,-40.46,2.46,-0.87,-0.87,2DGapFade,A,Medium
CLOV,2021-06-09,09:30,26.87,4.04,-6.86,-2.21,,True,False,3.04,-5.09,37.48,14.51,36.84,3DGapFade,A,Medium
CLOV,2021-06-09,09:45,24.75,11.59,-14.2,-4.01,-6.15,True,False,3.04,-12.56,32.13,16.34,31.44,3DGapFade,A,Medium
CLOV,2021-06-09,10:00,22.97,17.96,-20.38,-9.12,-1.99,True,False,3.04,-18.86,26.86,7.84,26.12,3DGapFade,A,Medium
CLOV,2021-06-09,10:30,21.17,24.39,-26.62,-10.3,-3.76,True,False,3.04,-25.22,20.64,-0.57,19.84,3DGapFade,A,Medium
CLOV,2021-06-09,11:00,21.29,23.96,-26.2,-8.31,-0.64,True,False,3.04,-24.8,21.09,11.08,20.29,3DGapFade,A,Medium
