signal_date,session,target_date,ticker,bucket,cap,recommendation,score,atr_pct,entry_open,d0_pct,d1_pct,d2_pct,d3_pct,mfe_atr_d0,mfe_atr_3d,mae_atr_3d,adverse_before_fav_atr,days_to_1atr,dir_correct_d0,dir_correct_final,tradeable_d0,tradeable_3d,days_available,complete,episode_id,episode_signal_num,pct_from_9ema,pct_change_3,gap_pct,prior_day_range_atr,prior_day_rvol,premarket_rvol,selloff_total_pct,pct_off_30d_high,pct_off_52wk_high
2026-05-14,evening,2026-05-15,RKLB,reversal,Medium,GO,4/5,0.068034,128.1,-0.025995,0.023888,-0.006167,0.048244,0.72,1.48,1.18,1.18,2,True,False,False,True,4,True,RKLB_reversal_2026-05-11,4,0.283176,0.177112,0.058679,1.157446,0.978457,0.030725,,,
2026-05-15,morning,2026-05-15,WOLF,reversal,Medium,GO,4/5,0.112431,62.8,-0.010669,-0.054936,-0.063217,-0.066561,0.47,1.28,0.95,0.95,1,True,True,False,True,4,True,WOLF_reversal_2026-05-14,2,0.256677,0.390578,-0.070898,1.669382,2.111157,0.0,,,
2026-05-15,evening,2026-05-18,NBIS,reversal,Medium,GO,4/5,0.079369,217.47,-0.080977,-0.090771,-0.117947,0.011312,1.59,2.0,0.54,0.03,0,True,False,True,True,4,True,NBIS_reversal_2026-05-15,2,0.186015,0.18834,0.014741,1.458633,1.84001,0.05702,,,
2026-05-18,morning,2026-05-18,POET,reversal,Medium,GO,4/5,0.124699,17.02,-0.1651,-0.23208,-0.13161,-0.12926,1.74,2.45,0.07,0.07,0,True,True,True,True,4,True,POET_reversal_2026-05-15,2,0.282466,0.163146,0.115842,1.946326,1.458628,0.0,,,
2026-05-15,evening,2026-05-18,WOLF,reversal,Medium,GO,4/5,0.11409,63.54,-0.065943,-0.074127,-0.077432,0.093799,1.16,1.35,1.19,0.82,0,True,False,True,True,4,True,WOLF_reversal_2026-05-14,3,0.238407,0.390578,-0.084405,1.669382,2.111157,0.038594,,,
2026-05-22,morning,2026-05-22,ARM,reversal,Large,GO,4/5,0.06908,290.075,0.056658,0.107369,0.043558,0.155805,0.09,0.09,2.96,,,False,False,False,False,4,True,ARM_reversal_2026-05-22,1,0.224758,0.386343,-0.017537,1.61558,1.790341,0.0,,,
2026-05-22,morning,2026-05-22,RGTI,reversal,Medium,GO,4/5,0.086328,22.96,0.150697,0.091681,0.0723,0.177265,0.15,0.15,2.43,,,False,False,False,False,4,True,RGTI_reversal_2026-05-22,1,0.25113,0.326113,0.049002,1.853807,5.498249,0.0,,,
2026-05-26,morning,2026-05-26,ARM,reversal,Large,GO,4/5,0.066295,315.71,0.017453,-0.041177,0.061956,0.119033,0.75,0.75,1.95,,,False,False,False,False,4,True,ARM_reversal_2026-05-22,2,0.249571,0.37356,0.030146,1.279828,1.130179,0.0,,,
2026-05-22,evening,2026-05-26,IONQ,reversal,Medium,GO,5/5,0.085945,64.3,-0.010575,0.017107,0.090824,0.12084,0.76,0.83,1.42,,,True,False,False,False,4,True,IONQ_reversal_2026-05-26,1,0.191711,0.194281,0.07115,1.326219,2.011832,0.104133,,,
2026-05-26,morning,2026-05-26,NVTS,reversal,Medium,GO,4/5,0.099649,31.355,0.013873,-0.078935,-0.090735,-0.15165,0.24,1.69,0.79,0.79,2,False,True,False,True,4,True,NVTS_reversal_2026-05-26,1,0.375892,0.505404,0.072137,1.628804,1.407821,0.0,,,
2026-05-26,morning,2026-05-26,QCOM,reversal,Large,GO,4/5,0.081654,240.715,0.033671,-0.030389,0.010697,0.04281,0.25,0.84,0.98,,,False,False,False,False,4,True,QCOM_reversal_2026-05-26,1,0.159226,0.217525,0.023892,1.447912,0.951296,0.0,,,
2026-05-26,morning,2026-05-26,RGTI,reversal,Medium,GO,4/5,0.087575,26.01,-0.036332,-0.053441,0.039216,-0.01807,1.01,1.05,0.69,0.25,0,True,True,True,True,4,True,RGTI_reversal_2026-05-22,2,0.316561,0.655388,0.0,2.216702,6.192801,0.0,,,
2026-05-26,morning,2026-05-26,WOLF,reversal,Medium,GO,4/5,0.136977,77.78,-0.055027,-0.18668,-0.163667,-0.23785,0.66,2.0,0.27,0.27,1,True,True,False,True,4,True,WOLF_reversal_2026-05-26,1,0.218947,0.187999,0.065961,1.229819,1.100726,0.0,,,
2026-05-27,morning,2026-05-27,AMD,reversal,Large,GO,4/5,0.063835,508,-0.024528,0.019862,0.015945,0.004193,0.66,0.66,0.59,,,True,False,False,False,4,True,AMD_reversal_2026-05-27,1,0.129132,0.12581,0.011133,0.82186,0.908772,0.0,,,
2026-05-26,evening,2026-05-27,ARM,reversal,Large,GO,5/5,0.066011,320.535,-0.05561,0.04597,0.102189,0.275524,0.93,0.93,4.78,,,True,False,False,False,4,True,ARM_reversal_2026-05-22,3,0.254933,0.37356,0.034567,1.279828,1.130179,0.068722,,,
2026-05-26,evening,2026-05-27,CRDO,reversal,Medium,GO,4/5,0.084937,224.13,-0.012939,-0.007942,0.053094,0.00879,0.74,0.74,1.0,,,True,False,False,False,4,True,CRDO_reversal_2026-05-27,1,0.159346,0.292443,0.004579,1.259931,1.399574,0.088621,,,
2026-05-27,morning,2026-05-27,MRVL,reversal,Large,GO,5/5,0.061895,217.98,-0.088448,-0.060327,-0.059547,0.006652,1.61,1.73,0.53,0.02,0,True,False,True,True,4,True,MRVL_reversal_2026-05-27,1,0.180441,0.114882,0.060885,1.273113,1.812957,0.0,,,
