cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form
1881551,Solidion Technology Inc.,STI,2024-02-02,2024-02-08,0001213900-24-011711,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.03,5.05,5.06,9.01",3690,8-K
1527702,iQSTEL Inc,IQST,2024-01-19,2024-02-08,0001663577-24-000039,"1.01,2.01,2.03,9.01",4813,8-K/A
69488,MYERS INDUSTRIES INC,MYE,2024-02-08,2024-02-08,0000950170-24-012759,"2.01,7.01,9.01",3089,8-K
1830795,Quantum FinTech Acquisition Corp,,2024-02-08,2024-02-13,0001213900-24-013349,"1.01,2.01,3.01,3.03,5.01,5.07,7.01,9.01",6770,8-K
1852973,Borealis Foods Inc.,"BRLS, BRLSW",2024-02-07,2024-02-13,0001213900-24-013332,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2000,8-K
1860871,Semper Paratus Acquisition Corp,"TVGN, TVGNW",2024-02-14,2024-02-14,0001493152-24-006751,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",2836,8-K
1831481,Sable Offshore Corp.,"SOC, SOC-WT",2024-02-14,2024-02-14,0001193125-24-036506,"1.01,2.01,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",1311,8-K
1856948,Chenghe Acquisition Co.,,2024-02-15,2024-02-15,0001104659-24-024566,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",6770,8-K
1963088,"AtlasClear Holdings, Inc.","ATCH, ATCHW",2024-02-09,2024-02-15,0001104659-24-024588,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,9.01",6199,8-K
1870404,"CERO THERAPEUTICS HOLDINGS, INC.","CERO, CEROW",2024-02-13,2024-02-15,0001213900-24-014197,"1.01,2.01,5.01,5.02,5.03,5.06,9.01",2836,8-K
1883788,"DIH HOLDING US, INC.","DHAI, DHAIW",2024-02-07,2024-02-20,0001493152-24-007083,"1.01,2.01,2.02,3.02,3.03,5.01,5.02,5.03,5.05,5.06,8.01,9.01",3841,8-K
1841024,L Catterton Asia Acquisition Corp,,2024-02-22,2024-02-22,0001104659-24-026598,"1.01,2.01,3.01,3.03,5.01,5.02,7.01,9.01",6770,8-K
946454,FG Group Holdings Inc.,,2024-02-29,2024-02-29,0001493152-24-008331,"2.01,3.01,3.03,5.01,5.07,7.01,9.01",3861,8-K
1591890,Fundamental Global Inc.,"FGF, FGFPP",2024-02-29,2024-02-29,0001493152-24-008332,"2.01,5.02,5.03,7.01,9.01",6331,8-K
936528,WAFD INC,"WAFD, WAFDP",2024-02-29,2024-03-01,0000936528-24-000055,"2.01,2.03,9.01",6021,8-K
765880,"HEALTHPEAK PROPERTIES, INC.",DOC,2024-02-28,2024-03-01,0001104659-24-029661,"1.01,2.01,2.03,5.02,5.03,7.01,8.01,9.01",6798,8-K
1475348,Luther Burbank Corp,,2024-02-29,2024-03-01,0001193125-24-053876,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6022,8-K
1829322,Sizzle Acquisition Corp.,,2024-02-27,2024-03-04,0001213900-24-019580,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,9.01",6770,8-K
1724965,TALOS ENERGY INC.,TALO,2024-03-04,2024-03-05,0001193125-24-058227,"1.01,2.01,3.02,5.02,7.01,8.01,9.01",1311,8-K
1844505,"QT IMAGING HOLDINGS, INC.","QTI, QTIWW",2024-03-04,2024-03-08,0001193125-24-063762,"1.01,2.01,3.03,5.01,5.02,5.03,5.06,8.01,9.01",3845,8-K
1714562,"GameSquare Holdings, Inc.",GAME,2024-03-07,2024-03-13,0001493152-24-009809,"1.01,2.01,3.02,3.03,5.02,5.03,7.01,9.01",7900,8-K
1947861,Nature's Miracle Holding Inc.,"NMHI, NMHIW",2024-03-11,2024-03-15,0001213900-24-023074,"1.01,2.01,3.01,3.03,4.01,5.01,5.02,5.03,5.06,7.01,9.01",6770,8-K
1326003,BlackRock Capital Investment Corp,,2024-03-18,2024-03-18,0001140361-24-013941,"2.01,3.01,3.03,5.01,5.02,7.01,9.01",,8-K
1370755,BlackRock TCP Capital Corp.,TCPC,2024-03-18,2024-03-18,0001140361-24-013943,"1.01,2.01,2.03,5.02,7.01,9.01",,8-K
1886799,Bright Green Corp,BGXX,2024-03-13,2024-03-19,0001493152-24-010514,"1.01,2.01,2.03,9.01",2833,8-K
1689923,"Alteryx, Inc.",,2024-03-19,2024-03-19,0001193125-24-070837,"1.01,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",7372,8-K
1838163,Brand Engagement Network Inc.,"BNAI, BNAIW",2024-03-14,2024-03-20,0001493152-24-010698,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,8.01,9.01",7373,8-K
1879373,GRAPHJET TECHNOLOGY,GTI,2024-03-14,2024-03-20,0001493152-24-010687,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3620,8-K
1855474,Montana Technologies Corp.,"AIRJ, AIRJW",2024-03-14,2024-03-20,0001213900-24-024441,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,8.01,9.01",3585,8-K
1865506,Zeo Energy Corp.,"ZEO, ZEOWW",2024-03-13,2024-03-20,0001213900-24-024166,"1.01,2.01,2.02,3.02,3.03,5.01,5.02,5.03,5.06,7.01,9.01",3690,8-K
1953984,"Binah Capital Group, Inc.","BCG, BCGWW",2024-03-21,2024-03-21,0001104659-24-037410,"1.01,2.01,3.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",6199,8-K
1668340,"Bancorp 34, Inc.",BCTF,2024-03-18,2024-03-21,0001552781-24-000167,"2.01,5.02,5.07,7.01,9.01",6035,8-K
1815776,"LENZ Therapeutics, Inc.",LENZ,2024-03-21,2024-03-22,0001628280-24-012633,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2836,8-K
1845368,HCM Acquisition Corp,,2024-03-20,2024-03-26,0001140361-24-015362,"1.01,2.01,3.01,3.03,5.01,5.02,8.01,9.01",6770,8-K
1661998,Q32 Bio Inc.,QTTB,2024-03-25,2024-03-27,0001193125-24-077930,"1.01,2.01,2.02,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.06,7.01,9.01",2834,8-K
1824884,Edoc Acquisition Corp.,,2024-03-21,2024-03-28,0001493152-24-011793,"1.01,2.01,3.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",2070,8-K
1708599,"AgeX Therapeutics, Inc.",SER,2024-03-26,2024-04-01,0001493152-24-012530,"1.01,2.01,2.03,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
883948,Atlantic Union Bankshares Corp,"AUB, AUB-PA",2024-04-01,2024-04-01,0000883948-24-000038,"2.01,5.02,7.01,9.01",6022,8-K
1851961,"GCT Semiconductor Holding, Inc.","GCTS, GCTS-WT",2024-03-26,2024-04-01,0001104659-24-041823,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,7.01,8.01,9.01",3674,8-K
1849635,Trump Media & Technology Group Corp.,"DJT, DJTWW",2024-03-25,2024-04-01,0001140361-24-016719,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",7370,8-K
741516,AMERICAN NATIONAL BANKSHARES INC.,,2024-04-01,2024-04-01,0001104659-24-041548,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6021,8-K
1774170,"Powerfleet, Inc.",AIOT,2024-04-02,2024-04-02,0001493152-24-012823,"2.01,5.01,5.02,8.01,9.01",3669,8-K
1843714,Zapata Computing Holdings Inc.,"ZPTA, ZPTAW",2024-03-28,2024-04-03,0001193125-24-085161,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",7372,8-K
1127371,Community West Bancshares,CWBC,2024-04-01,2024-04-03,0001193125-24-085373,"2.01,5.02,5.03,8.01,9.01",6022,8-K
1130598,"Traws Pharma, Inc.",TRAW,2024-04-01,2024-04-04,0001104659-24-043233,"1.01,2.01,3.02,3.03,5.02,5.03,7.01,9.01",2834,8-K
1835972,"iLearningEngines, Inc.","AILE, AILEW",2024-04-16,2024-04-22,0001213900-24-034984,"1.01,1.02,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",7372,8-K
1066764,Bitech Technologies Corp,BTTC,2024-04-24,2024-04-30,0001493152-24-017282,"1.01,2.01,3.02,5.02,7.01,9.01",4911,8-K
790051,CARLISLE COMPANIES INC,CSL,2024-05-01,2024-05-01,0000790051-24-000087,"2.01,5.02,5.03,5.07,7.01,9.01",3060,8-K
1964333,Burke & Herbert Financial Services Corp.,BHRB,2024-05-03,2024-05-03,0001964333-24-000129,"2.01,2.03,3.03,5.02,5.03,8.01,9.01",6021,8-K
811808,"SUMMIT FINANCIAL GROUP, INC.",,2024-05-03,2024-05-03,0001437749-24-014543,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6022,8-K
1823000,CONX Corp.,"CNXX, CNXXW",2024-05-01,2024-05-07,0001104659-24-058132,"2.01,3.02,3.03,5.03,5.06,9.01",6770,8-K
1879297,LAMF Global Ventures Corp. I,,2024-05-01,2024-05-07,0001213900-24-040496,"1.01,1.02,2.01,3.01,3.02,3.03,5.01,5.02,9.01",6770,8-K
1749704,"AGILITI, INC. \DE",,2024-05-07,2024-05-07,0001193125-24-132655,"1.01,2.01,2.03,3.01,3.03,5.03,8.01,9.01",7350,8-K
1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,"ANG-PA, ANG-PB",2024-05-07,2024-05-08,0001104659-24-058469,"1.01,1.02,2.01,2.03,5.03,7.01,8.01,9.01",6311,8-K
1849056,Oklo Inc.,OKLO,2024-05-09,2024-05-13,0001104659-24-060634,"1.01,2.01,3.03,5.01,5.02,5.03,5.05,5.06,8.01,9.01",4911,8-K
2006191,Lionsgate Studios Corp.,LION,2024-05-08,2024-05-14,0001193125-24-137722,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,7.01,9.01",7812,8-K
1476765,"GOLUB CAPITAL BDC, Inc.",GBDC,2024-06-03,2024-06-03,0001104659-24-067549,"1.01,1.02,2.01,2.03,7.01,9.01",,8-K
1606268,"Via Renewables, Inc.",VIASP,2024-06-13,2024-06-13,0001140361-24-030015,"2.01,3.01,3.03,8.01,9.01",4931,8-K
1681087,"Tectonic Therapeutic, Inc.",TECX,2024-06-20,2024-06-20,0001193125-24-164480,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03,5.06,8.01,9.01",2836,8-K
1715768,"Transphorm, Inc.",,2024-06-20,2024-06-20,0001193125-24-164045,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,9.01",3674,8-K
1118417,"MODEL N, INC.",,2024-06-25,2024-06-27,0001193125-24-170493,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,5.07,8.01,9.01",7370,8-K
1912582,"Thunder Power Holdings, Inc.",AIEV,2024-06-21,2024-06-27,0001213900-24-056731,"2.01,3.03,5.01,5.02,5.03,5.06,8.01,9.01",3711,8-K
1907223,"ANEW Medical, Inc.","WENA, WENAW",2024-06-21,2024-06-27,0001213900-24-056719,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",2836,8-K
1575434,"Vericity, Inc.",,2024-06-28,2024-06-28,0000950170-24-078988,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6311,8-K
1864531,"VSEE HEALTH, INC.","VSEE, VSEEW",2024-06-24,2024-06-28,0001104659-24-076308,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,7.01,9.01",8000,8-K
