cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
1881487,ACDC,Nasdaq,1389,"Oil & Gas Field Services, NEC",ProFrac Holding Corp.,,2022-06-22,425,0,,,True,False,False,ProFrac,PFHC,PFHC,,,,,,False,False,
1759186,ZSQR,Nasdaq,6199,Finance Services,Z Squared Inc.,"Coeptis Therapeutics Holdings, Inc.; Bull Horn Holdings Corp.",2022-04-19,425,3,2022-10-26,2022-10-26,True,False,True,,BHSE,COEP,,,88.5,10.29,vote8k,True,True,88.5
1831868,"ICU,ICUCW","Nasdaq,Nasdaq",3841,Surgical & Medical Instruments & Apparatus,SeaStar Medical Holding Corp,LMF Acquisition Opportunities Inc,2022-04-22,425,1,2022-10-19,2022-10-18,True,False,True,"LMF Merger Sub, Inc",,ICU,8878960.0,,,,super8k,True,True,
1834645,,,2836,"Biological Products, (No Diagnostic Substances)","Peak Bio, Inc.",Ignyte Acquisition Corp.,2022-06-17,PREM14A,2,2022-10-28,2022-10-25,False,False,True,"April 28, 2022",IGNY,PKBO,,,,,,True,True,
1846253,"OABIW,OABI","Nasdaq,Nasdaq",8731,Services-Commercial Physical & Biological Research,"OmniAb, Inc.",Avista Public Acquisition Corp. II,2022-03-23,425,1,2022-10-24,2022-10-24,True,False,True,,AHPA,OABI,21713864.0,,,10.32,super8k,True,True,
1671858,SPRY,Nasdaq,2834,Pharmaceutical Preparations,"ARS Pharmaceuticals, Inc.","Silverback Therapeutics, Inc.",2022-08-11,PREM14A,3,2022-11-08,2022-11-04,False,False,True,Silverback,SBTX,SPRY,,,,,,False,False,
1760683,,,3711,Motor Vehicles & Passenger Car Bodies,East Stone Acquisition Corp,,2020-09-23,425,4,2022-11-15,2022-11-10,True,False,False,Companies,ESSC,ESSC,,,,10.39,,True,True,
1820190,"SCLX,SCLXW","Nasdaq,Nasdaq",2836,"Biological Products, (No Diagnostic Substances)",Scilex Holding Co,Scilex Holding Company/DE; Vickers Vantage Corp. I,2022-02-18,425,2,2022-11-09,2022-11-09,True,False,True,"March 17, 2022",VCKA,SCLX,3104000.0,,90.0,,super8k,False,True,90.0
1769624,"ILLR,ILLRW","Nasdaq,Nasdaq",6282,Investment Advice,Triller Group Inc.,AGBA Group Holding Ltd.; AGBA Acquisition Ltd,2022-01-18,PREM14A,5,2022-11-10,2022-11-10,False,False,True,"November 3, 2021",AGBA,AGBA,2025719.0,,,11.617,super8k,False,True,
732834,,,1311,Crude Petroleum & Natural Gas,"CONTINENTAL RESOURCES, INC",CONTINENTAL RESOURCES INC,1998-08-14,S-4,14,2022-05-20,2022-05-19,False,False,False,,CLR,CLR,,,,,,False,False,
1847846,"EUDA,EUDAW","Nasdaq,Nasdaq",8000,Services-Health Services,EUDA Health Holdings Ltd,8i Acquisition 2 Corp.,2022-04-12,425,1,2022-11-10,2022-11-10,True,False,True,EUDA from the Seller,LAX,EUDA,8195770.0,,,10.0837,vote8k,True,True,
1820144,GRND,NYSE,7370,"Services-Computer Programming, Data Processing, Etc.",Grindr Inc.,Tiga Acquisition Corp.,2022-05-09,425,1,2022-11-16,2022-11-15,True,False,True,,TINV,GRND,,,,10.5,,True,True,
1828326,,,6770,Blank Checks,Frazier Lifesciences Acquisition Corp,,2022-07-25,425,1,2022-11-15,2022-11-15,True,True,False,Holdco,FLAC,FLAC,4565862.0,,,10.09,super8k,True,True,
836147,,,6022,State Commercial Banks,MIDDLEFIELD BANC CORP,,2022-05-26,425,16,2022-11-08,2022-11-08,True,False,False,"Liberty Bancshares, Inc",MBCN,MBCN,,,,,,False,False,
1648365,,,7310,Services-Advertising,"AGRI-FINTECH HOLDINGS, INC.","TINGO, INC.; IWEB, Inc.",,,3,2022-06-06,2022-06-02,False,False,True,Tingo BVI Sub with and into MICT BVI Sub,,,,,27.0,,near8k,False,True,27.0
1821075,,,6531,Real Estate Agents & Managers (For Others),"Appreciate Holdings, Inc.",PROPTECH INVESTMENT CORP. II,2022-05-17,425,2,2022-12-05,2022-11-29,True,False,True,"Appreciate Intermediate Holdings, LLC",PTIC,SFR,13060906.0,,,10.08,super8k,True,True,
