ticker,date,status,exp,dte,spot935,fixed_strike,n_strikes,strikes,n_bars,valid_frac,extrap_frac,err,top_bucket,t_top,path
MSTR,2023-12-29,ok,2024-01-05,7,672.5,672.5,8,505.0|562.5|592.5|635.0|670.0|672.5|725.0|840.0,389,1.0,0.0,,open30,2023-12-29 09:31:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MSTR_20231229.pkl
COIN,2023-12-29,ok,2024-01-05,7,187.5,187.5,8,141.0|148.0|162.5|180.0|187.5|197.5|215.0|232.5,389,1.0,0.0,,premarket,2023-12-29 08:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\COIN_20231229.pkl
MARA,2023-12-29,no_chain,,,,,0,,0,0.0,0.0,,open30,2023-12-29 09:44:00-05:00,
AMD,2024-01-18,ok,2024-01-26,8,165.0,165.0,8,124.0|132.0|140.0|148.0|162.5|165.0|182.5|205.0,389,1.0,0.003,,open30,2024-01-18 09:49:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMD_20240118.pkl
AMD,2024-01-25,ok,2024-02-02,8,182.5,182.5,8,137.0|144.0|155.0|172.5|182.5|190.0|210.0|227.5,389,1.0,0.0,,post10,2024-01-25 11:52:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMD_20240125.pkl
NVDA,2024-02-06,ok,2024-02-16,10,690.0,690.0,8,520.0|565.0|610.0|665.0|690.0|720.0|775.0|860.0,389,1.0,0.0,,premarket,2024-02-06 08:03:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVDA_20240206.pkl
SMCI,2024-02-06,ok,2024-02-16,10,670.0,670.0,8,505.0|555.0|600.0|645.0|670.0|695.0|745.0|830.0,389,1.0,0.0,,premarket,2024-02-06 08:03:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SMCI_20240206.pkl
NVDA,2024-02-12,ok,2024-02-23,11,730.0,730.0,7,550.0|610.0|645.0|690.0|730.0|790.0|910.0,389,1.0,0.0,,post10,2024-02-12 11:39:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVDA_20240212.pkl
SMCI,2024-02-12,ok,2024-02-23,11,765.0,765.0,8,575.0|630.0|667.5|715.0|765.0|770.0|840.0|950.0,389,1.0,0.0,,post10,2024-02-12 11:38:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SMCI_20240212.pkl
SMCI,2024-02-16,ok,2024-02-23,7,1070.0,1070.0,8,805.0|860.0|915.0|1000.0|1070.0|1110.0|1220.0|1330.0,389,1.0,0.01,,premarket,2024-02-16 08:55:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SMCI_20240216.pkl
NVDA,2024-03-08,ok,2024-03-15,7,960.0,960.0,8,720.0|785.0|845.0|910.0|960.0|975.0|1070.0|1200.0,389,1.0,0.0,,post10,2024-03-08 10:31:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVDA_20240308.pkl
NVAX,2024-06-06,ok,2024-06-14,8,21.5,21.5,7,16.5|18.0|20.0|21.5|23.0|25.0|26.5,389,1.0,0.0,,premarket,2024-06-06 05:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVAX_20240606.pkl
NVDA,2024-06-06,ok,2024-06-14,8,1250.0,1250.0,8,940.0|1040.0|1142.5|1220.0|1250.0|1320.0|1425.0|1560.0,389,1.0,0.0,,open30,2024-06-06 09:37:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVDA_20240606.pkl
NVDA,2024-06-20,ok,2024-06-28,8,139.0,139.0,8,105.0|112.0|119.0|126.0|133.0|139.0|142.0|170.0,389,1.0,0.0,,premarket,2024-06-20 08:02:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NVDA_20240620.pkl
MU,2024-06-20,ok,2024-06-28,8,152.5,152.5,8,115.0|122.0|130.0|137.0|144.0|152.5|155.0|190.0,389,1.0,0.0,,premarket,2024-06-20 08:54:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MU_20240620.pkl
AVGO,2024-06-20,ok,2024-06-28,8,1770.0,1770.0,8,1330.0|1400.0|1470.0|1610.0|1710.0|1770.0|1840.0|2200.0,389,1.0,0.0,,premarket,2024-06-20 04:19:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AVGO_20240620.pkl
KWEB,2024-09-30,ok,2024-10-11,11,35.0,35.0,8,26.5|28.5|30.0|32.0|35.0|36.0|39.0|43.0,389,1.0,0.0,,premarket,2024-09-30 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\KWEB_20240930.pkl
VXX,2024-08-05,ok,2024-08-16,11,85.0,85.0,7,65.0|70.0|80.0|85.0|90.0|100.0|105.0,384,0.987,0.0,,premarket,2024-08-05 08:35:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\VXX_20240805.pkl
BEKE,2024-09-30,ok,2024-10-11,11,21.5,21.5,7,16.5|18.0|20.0|21.5|23.0|25.0|26.5,389,1.0,0.0,,premarket,2024-09-30 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BEKE_20240930.pkl
TEM,2024-08-20,no_chain,,,,,0,,0,0.0,0.0,,post10,2024-08-20 10:19:00-04:00,
OKLO,2024-10-23,ok,2024-11-15,23,20.0,20.0,7,15.0|16.0|19.0|20.0|21.0|24.0|25.0,389,1.0,0.0,,open30,2024-10-23 09:47:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\OKLO_20241023.pkl
ARM,2024-04-17,ok,2024-04-26,9,122.0,122.0,8,95.0|106.0|115.0|122.0|124.0|133.0|142.0|152.5,389,1.0,0.0,,premarket,2024-04-17 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\ARM_20240417.pkl
PHUN,2024-10-24,no_chain,,,,,0,,0,0.0,0.0,,premarket,2024-10-24 08:01:00-04:00,
DJT,2024-10-29,ok,2024-11-08,10,52.0,52.0,8,39.0|42.0|45.0|48.0|52.0|53.0|59.0|65.0,364,0.936,0.0,,premarket,2024-10-29 08:17:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\DJT_20241029.pkl
IONQ,2024-10-29,ok,2024-11-08,10,17.5,17.5,7,13.5|15.0|16.0|17.5|19.0|20.0|21.5,389,1.0,0.0,,premarket,2024-10-29 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\IONQ_20241029.pkl
DJT,2024-10-30,ok,2024-11-08,9,48.5,48.5,7,36.5|40.5|44.5|48.5|52.0|56.0|60.0,389,1.0,0.0,,premarket,2024-10-30 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\DJT_20241030.pkl
OKLO,2024-10-30,ok,2024-11-08,9,26.5,26.5,8,20.0|22.0|24.0|26.0|26.5|28.5|30.5|33.0,389,1.0,0.0,,open30,2024-10-30 09:40:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\OKLO_20241030.pkl
DXYZ,2024-11-11,no_chain,,,,,0,,0,0.0,0.0,,open30,2024-11-11 09:42:00-05:00,
IONQ,2024-11-12,ok,2024-11-22,10,24.5,24.5,7,18.5|20.5|22.5|24.5|26.5|28.5|30.5,389,1.0,0.0,,open30,2024-11-12 09:40:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\IONQ_20241112.pkl
TSLA,2024-11-12,ok,2024-11-22,10,340.0,340.0,8,255.0|280.0|307.5|335.0|340.0|360.0|385.0|425.0,389,1.0,0.0,,premarket,2024-11-12 04:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\TSLA_20241112.pkl
MSTR,2024-11-21,ok,2024-11-29,8,530.0,530.0,8,397.5|425.0|450.0|477.5|505.0|530.0|555.0|660.0,389,1.0,0.085,,premarket,2024-11-21 09:24:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MSTR_20241121.pkl
CRNC,2025-01-06,ok,2025-01-17,11,27.0,27.0,7,21.0|23.0|25.0|27.0|29.0|31.0|33.0,389,1.0,0.761,,open30,2025-01-06 09:35:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CRNC_20250106.pkl
IONQ,2025-01-08,ok,2025-01-17,9,37.0,37.0,7,28.0|31.0|34.0|37.0|40.0|43.0|46.0,389,1.0,0.254,,premarket,2025-01-08 05:28:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\IONQ_20250108.pkl
CRCL,2025-06-23,ok,2025-07-03,10,240.0,240.0,7,180.0|200.0|220.0|240.0|260.0|280.0|300.0,389,1.0,0.0,,post10,2025-06-23 11:27:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CRCL_20250623.pkl
CRCL,2025-06-24,ok,2025-07-03,9,247.5,247.5,7,187.5|207.5|227.5|247.5|267.5|287.5|307.5,389,1.0,0.0,,premarket,2025-06-24 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CRCL_20250624.pkl
OPEN,2025-07-21,ok,2025-08-01,11,2.5,2.5,3,2.0|2.5|3.0,374,0.961,0.896,,post10,2025-07-21 14:47:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\OPEN_20250721.pkl
BYND,2025-10-22,ok,2025-10-31,9,6.0,6.0,7,4.5|5.0|5.5|6.0|6.5|7.0|7.5,281,0.722,0.673,,premarket,2025-10-22 05:27:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BYND_20251022.pkl
GLD,2025-10-17,ok,2025-10-24,7,395.0,395.0,8,300.0|320.0|340.0|359.0|378.0|395.0|398.0|490.0,389,1.0,0.0,,premarket,2025-10-17 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GLD_20251017.pkl
SNDK,2025-11-13,ok,2025-11-21,8,265.0,265.0,7,200.0|220.0|245.0|265.0|285.0|310.0|330.0,389,1.0,0.0,,premarket,2025-11-13 08:02:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SNDK_20251113.pkl
SLV,2026-01-26,ok,2026-02-02,7,99.5,99.5,8,75.0|80.0|85.5|90.5|95.5|99.5|102.0|120.0,389,1.0,0.0,,post10,2026-01-26 13:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SLV_20260126.pkl
GLD,2026-01-29,ok,2026-02-04,6,508.0,508.0,8,385.0|423.0|445.0|467.0|488.0|508.0|510.0|600.0,389,1.0,0.0,,premarket,2026-01-29 08:02:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GLD_20260129.pkl
EWY,2026-02-26,ok,2026-03-06,8,153.0,153.0,8,115.0|125.0|131.5|141.0|151.0|153.0|159.0|190.0,389,1.0,0.0,,premarket,2026-02-26 04:18:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\EWY_20260226.pkl
GLW,2026-02-26,ok,2026-03-06,8,157.5,157.5,8,119.0|127.0|135.0|143.0|150.0|157.5|170.0|195.0,387,0.995,0.0,,premarket,2026-02-26 07:45:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GLW_20260226.pkl
SOXL,2026-04-27,ok,2026-05-08,11,127.0,127.0,8,96.0|104.0|115.0|125.0|127.0|135.0|146.0|155.0,389,1.0,0.0,,premarket,2026-04-27 07:33:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SOXL_20260427.pkl
